size,Triton,Torch
4096.000000,12.190476,13.298701
8192.000000,24.000000,24.000000
16384.000000,48.000000,48.000000
32768.000000,76.800002,96.000000
65536.000000,153.600004,153.600004
131072.000000,255.999991,255.999991
262144.000000,413.042029,384.000001
524288.000000,547.654599,511.999982
1048576.000000,722.823517,682.666643
2097152.000000,665.903455,682.666643
4194304.000000,769.879605,832.203194
8388608.000000,833.084721,869.946888
16777216.000000,871.453159,893.672720
33554432.000000,895.708437,909.235645
67108864.000000,910.222221,917.640201
134217728.000000,915.520350,920.341734
