N,Triton,Torch,Naive Softmax
256.000000,576.314172,687.163717,287.711355
384.000000,554.339564,763.260771,335.477509
512.000000,650.338847,851.755731,382.763815
640.000000,666.652573,805.764209,388.434441
768.000000,666.753909,822.209650,408.890124
896.000000,690.569663,766.325528,426.293232
1024.000000,708.660633,796.110476,432.614567
1152.000000,709.763451,565.550138,430.625898
1280.000000,683.307749,608.806906,429.884141
1408.000000,699.469635,660.966185,424.674242
1536.000000,738.796039,714.072991,422.166760
1664.000000,738.360566,754.051279,417.147622
1792.000000,772.703053,793.453062,408.815299
1920.000000,764.463025,814.514195,406.669781
2048.000000,760.717138,843.184384,395.211156
2176.000000,753.229639,831.737223,391.496384
2304.000000,762.631638,849.064331,378.237436
2432.000000,764.198923,848.558975,374.973053
2560.000000,770.525784,872.385094,359.991284
2688.000000,783.876609,882.908553,353.514466
2816.000000,781.379356,835.715707,345.205289
2944.000000,767.396407,874.997808,334.109431
3072.000000,764.282211,876.831280,331.302211
3200.000000,791.521022,872.815422,315.434000
3328.000000,791.359073,884.629018,308.136372
3456.000000,813.380777,882.731303,293.782407
3584.000000,813.575643,889.181211,284.568107
3712.000000,809.883976,891.609102,280.598241
3840.000000,818.274254,900.529034,274.236380
3968.000000,818.528999,892.515160,271.968634
4096.000000,814.086604,899.684897,267.040888
4224.000000,831.248487,887.597616,268.002063
4352.000000,803.415972,880.908662,263.431316
4480.000000,827.462083,892.757407,262.390510
4608.000000,836.908874,900.422859,263.024495
4736.000000,836.570994,895.968366,257.898279
4864.000000,831.251348,891.907542,256.319946
4992.000000,846.360014,901.006018,256.802157
5120.000000,821.315657,896.957041,253.974447
5248.000000,852.771711,884.445987,253.835290
5376.000000,848.137153,899.915130,250.967199
5504.000000,847.834413,898.429258,251.334920
5632.000000,852.846230,886.198189,252.556704
5760.000000,851.632038,899.951737,245.723329
5888.000000,854.760358,893.383968,251.234445
6016.000000,855.340540,900.716173,251.494027
6144.000000,857.859826,888.579778,245.662456
6272.000000,858.503039,907.688139,249.630441
6400.000000,841.066096,905.855350,249.297184
6528.000000,860.209749,879.531238,248.045632
6656.000000,859.564230,902.775233,245.571066
6784.000000,844.629200,903.135123,247.200063
6912.000000,864.041738,904.629427,247.182146
7040.000000,857.554728,903.499533,246.882399
7168.000000,866.834094,900.506924,243.612980
7296.000000,866.487319,901.045769,240.781156
7424.000000,866.807467,908.183826,245.698291
7552.000000,860.972246,898.557975,243.043745
7680.000000,860.967620,897.200358,243.161410
7808.000000,870.568594,902.269211,241.413275
7936.000000,862.636945,895.614177,244.427486
8064.000000,866.963952,901.201242,243.811534
8192.000000,871.696242,907.122836,227.620929
8320.000000,847.425994,902.672505,227.970592
8448.000000,841.827569,899.453591,229.982723
8576.000000,844.250563,901.498325,226.999613
8704.000000,853.201359,890.473953,227.392819
8832.000000,850.685362,902.360581,227.688728
8960.000000,850.004890,903.677186,229.742399
9088.000000,849.953286,900.020978,229.775234
9216.000000,855.356303,907.592287,226.403055
9344.000000,858.094317,896.669127,229.101009
9472.000000,847.542294,896.765734,230.093870
9600.000000,858.440191,888.232750,218.520723
9728.000000,825.856669,899.561416,229.857166
9856.000000,860.114436,905.820133,224.131195
9984.000000,857.365977,894.359292,229.820670
10112.000000,857.078314,902.921133,230.346920
10240.000000,864.500989,890.040676,229.797493
10368.000000,853.897207,897.914205,227.769310
10496.000000,861.353359,905.725623,229.552801
10624.000000,855.033526,904.632583,227.212157
10752.000000,864.789830,888.618359,228.776452
10880.000000,866.401366,906.648344,226.311369
11008.000000,859.114134,896.952463,230.481832
11136.000000,866.079796,896.075996,230.290932
11264.000000,869.137497,884.999679,228.648725
11392.000000,868.291757,906.716716,228.169604
11520.000000,861.020638,908.521274,230.208824
11648.000000,866.947215,899.466145,226.694307
11776.000000,870.093826,864.324556,218.973603
11904.000000,839.551612,906.961355,223.548474
12032.000000,870.759990,890.081168,229.809764
12160.000000,871.138334,903.376939,230.257296
12288.000000,871.059693,885.285696,230.326335
12416.000000,865.991743,909.568216,227.557591
12544.000000,873.558025,908.190685,230.463502
12672.000000,860.270619,903.104847,227.458826
