size,Triton,Torch,Naive Torch
4096.000000,6.423409,8.665007,3.997236
8192.000000,13.241214,17.016991,7.984169
16384.000000,26.553668,35.331657,15.554843
32768.000000,50.612664,62.830504,30.304229
65536.000000,93.524697,113.522099,57.303105
131072.000000,156.953766,208.041112,104.520696
262144.000000,266.683021,335.370038,172.845901
524288.000000,402.787929,532.338450,258.651423
1048576.000000,536.250518,711.568513,334.427731
2097152.000000,618.172753,763.618004,378.713694
4194304.000000,694.962374,748.643531,409.579164
8388608.000000,740.274473,808.790349,303.232369
16777216.000000,585.404036,874.221513,199.559341
33554432.000000,601.486864,891.953254,201.541630
67108864.000000,607.742691,897.552460,200.814551
134217728.000000,610.407753,908.629871,202.895378
