size,Triton,Torch,Naive Torch
4096.000000,9.339767,8.540409,3.834415
8192.000000,17.759537,17.213580,7.953166
16384.000000,33.304760,35.197127,15.539632
32768.000000,68.850486,62.642906,30.262994
65536.000000,125.202126,113.941734,57.788798
131072.000000,215.145655,198.693433,103.341919
262144.000000,360.455550,338.264397,174.228971
524288.000000,565.766683,535.566947,257.569565
1048576.000000,741.409072,710.749226,333.785230
2097152.000000,745.894030,760.845841,371.326026
4194304.000000,733.988851,745.930529,409.545140
8388608.000000,822.185587,829.743329,303.281700
16777216.000000,872.622163,874.822485,197.598158
33554432.000000,889.389848,883.786437,201.536930
67108864.000000,902.830329,905.872949,202.407687
134217728.000000,907.457220,908.281645,202.626191
