size,Triton Inplace,Torch,Naive Torch
4096.000000,8.993144,9.191908,3.775582
8192.000000,17.770852,16.825172,7.757407
16384.000000,33.950510,32.704481,15.418620
32768.000000,65.325399,68.574887,30.098819
65536.000000,127.860211,121.633260,56.919066
131072.000000,199.893718,206.072484,101.802414
262144.000000,362.124281,350.384072,176.964431
524288.000000,552.507904,554.638603,257.098984
1048576.000000,741.583219,711.962033,333.553165
2097152.000000,826.471193,764.813877,378.248901
4194304.000000,868.544729,746.762657,410.081688
8388608.000000,885.374562,832.623601,303.372955
16777216.000000,899.698568,876.191125,196.744091
33554432.000000,900.216373,891.685283,201.573112
67108864.000000,909.803747,904.270921,202.439293
134217728.000000,911.626711,898.106680,201.730172
